IUCN_Category,Species,Country,Value
Number of endangered species,Invertebrates,Switzerland,358
Number of critically endangered species,Mosses,Switzerland,61
Number of critically endangered species,Lichens,Switzerland,45
Number of critically endangered species,Invertebrates,Switzerland,229
Number of vulnerable species,Mosses,Switzerland,282
Number of vulnerable species,Lichens,Switzerland,116
Number of vulnerable species,Invertebrates,Switzerland,487
Total number of threatened species,Mosses,Switzerland,401
Total number of threatened species,Lichens,Switzerland,257
Total number of threatened species,Invertebrates,Switzerland,1074
Number of endangered indigenous species,Mosses,Switzerland,58
Number of endangered indigenous species,Lichens,Switzerland,96
Number of endangered indigenous species,Invertebrates,Switzerland,358
Number of critically endangered indigenous species,Mosses,Switzerland,61
Number of critically endangered indigenous species,Lichens,Switzerland,45
Number of critically endangered indigenous species,Invertebrates,Switzerland,229
Number of vulnerable indigenous species,Mosses,Switzerland,282
Number of vulnerable indigenous species,Lichens,Switzerland,116
Number of vulnerable indigenous species,Invertebrates,Switzerland,487
Total number of indigenous threatened species,Mosses,Switzerland,401
Total number of indigenous threatened species,Lichens,Switzerland,257
Total number of indigenous threatened species,Invertebrates,Switzerland,1074
Threatened species as % of known species,Mammals,Switzerland,36.559
Threatened species as % of known species,Birds,Switzerland,34.634
Threatened species as % of known species,Reptiles,Switzerland,78.947
Threatened species as % of known species,Amphibians,Switzerland,68.421
Threatened species as % of known species,Vascular plants,Switzerland,25.641
Threatened species as % of known species,Mosses,Switzerland,40.261
Threatened species as % of known species,Lichens,Switzerland,36.045
Threatened species as % of known species,Invertebrates,Switzerland,34.052
Threatened indigenous species as % of indigenous spec.,Mosses,Switzerland,40.302
Threatened indigenous species as % of indigenous spec.,Lichens,Switzerland,36.045
Threatened indigenous species as % of indigenous spec.,Invertebrates,Switzerland,35.341
Total number of known species,Lichens,United Kingdom,2875
Total number of known species,Invertebrates,United Kingdom,36242
Total number of indigenous known species,Invertebrates,United Kingdom,3226
Number of endangered species,Mosses,United Kingdom,37
Number of endangered species,Lichens,United Kingdom,34
Number of endangered species,Invertebrates,United Kingdom,118
Number of critically endangered species,Mosses,United Kingdom,23
Number of critically endangered species,Lichens,United Kingdom,45
Number of critically endangered species,Invertebrates,United Kingdom,82
Number of vulnerable species,Mosses,United Kingdom,63
Number of vulnerable species,Lichens,United Kingdom,108
Number of vulnerable species,Invertebrates,United Kingdom,202
Total number of threatened species,Reptiles,United Kingdom,2
Total number of threatened species,Amphibians,United Kingdom,2
Total number of threatened species,Lichens,United Kingdom,187
Total number of threatened species,Invertebrates,United Kingdom,402
Number of endangered indigenous species,Mosses,United Kingdom,37
Number of endangered indigenous species,Lichens,United Kingdom,34
Number of endangered indigenous species,Invertebrates,United Kingdom,118
Number of critically endangered indigenous species,Mosses,United Kingdom,23
Number of critically endangered indigenous species,Lichens,United Kingdom,45
Number of critically endangered indigenous species,Invertebrates,United Kingdom,82
Number of vulnerable indigenous species,Mosses,United Kingdom,63
Number of vulnerable indigenous species,Lichens,United Kingdom,108
Number of vulnerable indigenous species,Invertebrates,United Kingdom,202
Total number of indigenous threatened species,Reptiles,United Kingdom,2
Total number of indigenous threatened species,Amphibians,United Kingdom,2
Total number of indigenous threatened species,Mosses,United Kingdom,123
Total number of indigenous threatened species,Lichens,United Kingdom,187
Total number of indigenous threatened species,Invertebrates,United Kingdom,402
Threatened species as % of known species,Mammals,United Kingdom,11.11
Threatened species as % of known species,Birds,United Kingdom,21.864
Threatened species as % of known species,Lichens,United Kingdom,6.609
Threatened species as % of known species,Invertebrates,United Kingdom,2.478
Total number of known species,Mosses,Chile,923
Total number of known species,Lichens,Chile,1383
Total number of known species,Invertebrates,Chile,12220
Total number of indigenous known species,Mosses,Chile,907
Total number of indigenous known species,Lichens,Chile,1383
Total number of indigenous known species,Invertebrates,Chile,12047
Number of endangered species,Invertebrates,Chile,63
Number of critically endangered species,Birds,Chile,2
Number of critically endangered species,Reptiles,Chile,9
Number of critically endangered species,Invertebrates,Chile,33
Number of vulnerable species,Invertebrates,Chile,23
Total number of threatened species,Invertebrates,Chile,119
Number of endangered indigenous species,Invertebrates,Chile,63
Number of critically endangered indigenous species,Birds,Chile,2
Number of critically endangered indigenous species,Reptiles,Chile,9
Number of critically endangered indigenous species,Invertebrates,Chile,33
Number of vulnerable indigenous species,Invertebrates,Chile,23
Total number of indigenous threatened species,Invertebrates,Chile,119
Threatened species as % of known species,Invertebrates,Chile,0.761
Threatened indigenous species as % of indigenous spec.,Invertebrates,Chile,0.769
Total number of known species,Mammals,Colombia,528
Total number of known species,Birds,Colombia,1954
Total number of known species,Reptiles,Colombia,743
Total number of known species,Amphibians,Colombia,850
Total number of known species,Vascular plants,Colombia,24633
Total number of known species,Mosses,Colombia,1718
Total number of known species,Lichens,Colombia,1673
Total number of known species,Invertebrates,Colombia,10999
Total number of indigenous known species,Mammals,Colombia,58
Total number of indigenous known species,Birds,Colombia,82
Total number of indigenous known species,Amphibians,Colombia,367
Total number of indigenous known species,Vascular plants,Colombia,4567
Number of endangered species,Mammals,Colombia,18
Number of endangered species,Birds,Colombia,40
Number of endangered species,Reptiles,Colombia,16
Number of endangered species,Amphibians,Colombia,123
Number of endangered species,Vascular plants,Colombia,264
Number of endangered species,Mosses,Colombia,4
Number of endangered species,Invertebrates,Colombia,44
Number of critically endangered species,Mammals,Colombia,5
Number of critically endangered species,Birds,Colombia,16
Number of critically endangered species,Reptiles,Colombia,11
Number of critically endangered species,Amphibians,Colombia,75
Number of critically endangered species,Vascular plants,Colombia,112
Number of critically endangered species,Mosses,Colombia,6
Number of critically endangered species,Invertebrates,Colombia,6
Number of vulnerable species,Mammals,Colombia,32
Number of vulnerable species,Birds,Colombia,80
Number of vulnerable species,Reptiles,Colombia,17
Number of vulnerable species,Amphibians,Colombia,101
Number of vulnerable species,Vascular plants,Colombia,345
Number of vulnerable species,Mosses,Colombia,32
Number of vulnerable species,Invertebrates,Colombia,48
Total number of threatened species,Mammals,Colombia,55
Total number of threatened species,Birds,Colombia,136
Total number of threatened species,Reptiles,Colombia,44
Total number of threatened species,Amphibians,Colombia,299
Total number of threatened species,Vascular plants,Colombia,721
Total number of threatened species,Mosses,Colombia,42
Total number of threatened species,Invertebrates,Colombia,98
Number of endangered indigenous species,Mammals,Colombia,3
Number of endangered indigenous species,Birds,Colombia,20
Number of endangered indigenous species,Vascular plants,Colombia,175
Number of critically endangered indigenous species,Mammals,Colombia,4
Number of critically endangered indigenous species,Birds,Colombia,13
Number of critically endangered indigenous species,Vascular plants,Colombia,91
Number of vulnerable indigenous species,Mammals,Colombia,5
Number of vulnerable indigenous species,Birds,Colombia,16
Number of vulnerable indigenous species,Vascular plants,Colombia,205
Total number of indigenous threatened species,Mammals,Colombia,13
Total number of indigenous threatened species,Birds,Colombia,49
Total number of indigenous threatened species,Vascular plants,Colombia,471
Threatened species as % of known species,Mammals,Colombia,8.015
Threatened species as % of known species,Birds,Colombia,7.334
Threatened species as % of known species,Reptiles,Colombia,6.962
Threatened species as % of known species,Amphibians,Colombia,6.651
Threatened species as % of known species,Vascular plants,Colombia,2.927
Threatened species as % of known species,Mosses,Colombia,2.445
Threatened species as % of known species,Invertebrates,Colombia,0.891
Threatened indigenous species as % of indigenous spec.,Mammals,Colombia,12.069
Threatened indigenous species as % of indigenous spec.,Birds,Colombia,62.195
Threatened indigenous species as % of indigenous spec.,Vascular plants,Colombia,10.313
Total number of known species,Mosses,Estonia,598
Total number of known species,Lichens,Estonia,556
Total number of known species,Invertebrates,Estonia,9808
Total number of indigenous known species,Mosses,Estonia,597
Total number of indigenous known species,Lichens,Estonia,551
Total number of indigenous known species,Invertebrates,Estonia,9489
Number of endangered species,Reptiles,Estonia,1
Number of endangered species,Mosses,Estonia,24
Number of endangered species,Lichens,Estonia,74
Number of endangered species,Invertebrates,Estonia,43
Number of critically endangered species,Mammals,Estonia,2
Number of critically endangered species,Mosses,Estonia,19
Number of critically endangered species,Lichens,Estonia,64
Number of critically endangered species,Invertebrates,Estonia,39
Number of vulnerable species,Mosses,Estonia,116
Number of vulnerable species,Lichens,Estonia,43
Number of vulnerable species,Invertebrates,Estonia,37
Total number of threatened species,Mosses,Estonia,159
Total number of threatened species,Lichens,Estonia,181
Total number of threatened species,Invertebrates,Estonia,119
Number of endangered indigenous species,Reptiles,Estonia,1
Number of endangered indigenous species,Mosses,Estonia,24
Number of endangered indigenous species,Lichens,Estonia,74
Number of endangered indigenous species,Invertebrates,Estonia,43
Number of critically endangered indigenous species,Mammals,Estonia,2
Number of critically endangered indigenous species,Mosses,Estonia,19
Number of critically endangered indigenous species,Lichens,Estonia,64
Number of critically endangered indigenous species,Invertebrates,Estonia,39
Number of vulnerable indigenous species,Mosses,Estonia,116
Number of vulnerable indigenous species,Lichens,Estonia,43
Number of vulnerable indigenous species,Invertebrates,Estonia,37
Total number of indigenous threatened species,Mosses,Estonia,159
Total number of indigenous threatened species,Lichens,Estonia,181
Total number of indigenous threatened species,Invertebrates,Estonia,119
Threatened species as % of known species,Mosses,Estonia,26.589
Threatened species as % of known species,Lichens,Estonia,32.554
Threatened species as % of known species,Invertebrates,Estonia,1.213
Threatened indigenous species as % of indigenous spec.,Mosses,Estonia,26.633
Threatened indigenous species as % of indigenous spec.,Lichens,Estonia,32.849
Threatened indigenous species as % of indigenous spec.,Invertebrates,Estonia,1.254
Total number of indigenous known species,Birds,Israel,213
Total number of indigenous known species,Amphibians,Israel,7
Number of endangered indigenous species,Birds,Israel,13
Number of endangered indigenous species,Amphibians,Israel,3
Number of critically endangered indigenous species,Birds,Israel,21
Number of critically endangered indigenous species,Amphibians,Israel,2
Number of vulnerable indigenous species,Birds,Israel,31
Number of vulnerable indigenous species,Amphibians,Israel,1
Total number of indigenous threatened species,Birds,Israel,65
Total number of indigenous threatened species,Amphibians,Israel,6
Total number of indigenous threatened species,Vascular plants,Israel,374
Threatened indigenous species as % of indigenous spec.,Birds,Israel,30.516
Threatened indigenous species as % of indigenous spec.,Amphibians,Israel,85.714
Threatened indigenous species as % of indigenous spec.,Vascular plants,Israel,16.477
Total number of known species,Mammals,Latvia,62
Total number of known species,Birds,Latvia,233
Total number of known species,Reptiles,Latvia,7
Total number of known species,Amphibians,Latvia,13
Total number of known species,Vascular plants,Latvia,1937
Total number of indigenous known species,Mammals,Latvia,54
Total number of indigenous known species,Birds,Latvia,231
Total number of indigenous known species,Reptiles,Latvia,7
Total number of indigenous known species,Amphibians,Latvia,13
Total number of indigenous known species,Vascular plants,Latvia,1304
Number of endangered species,Mammals,Latvia,3
Number of endangered species,Birds,Latvia,19
Number of endangered species,Reptiles,Latvia,1
Number of endangered species,Amphibians,Latvia,1
Number of endangered species,Vascular plants,Latvia,110
Number of endangered species,Mosses,Latvia,41
Number of endangered species,Lichens,Latvia,18
Number of endangered species,Invertebrates,Latvia,38
Number of critically endangered species,Mammals,Latvia,0
Number of critically endangered species,Birds,Latvia,4
Number of critically endangered species,Reptiles,Latvia,1
Number of critically endangered species,Amphibians,Latvia,1
Number of critically endangered species,Vascular plants,Latvia,16
Number of critically endangered species,Mosses,Latvia,3
Number of critically endangered species,Lichens,Latvia,2
Number of critically endangered species,Invertebrates,Latvia,7
Number of vulnerable species,Mammals,Latvia,2
Number of vulnerable species,Birds,Latvia,16
Number of vulnerable species,Reptiles,Latvia,0
Number of vulnerable species,Amphibians,Latvia,2
Number of vulnerable species,Vascular plants,Latvia,83
Number of vulnerable species,Mosses,Latvia,17
Number of vulnerable species,Lichens,Latvia,4
Number of vulnerable species,Invertebrates,Latvia,34
Total number of threatened species,Mammals,Latvia,5
Total number of threatened species,Birds,Latvia,39
Total number of threatened species,Reptiles,Latvia,2
Total number of threatened species,Amphibians,Latvia,4
Total number of threatened species,Vascular plants,Latvia,209
Total number of threatened species,Mosses,Latvia,61
Total number of threatened species,Lichens,Latvia,24
Total number of threatened species,Invertebrates,Latvia,79
Number of endangered indigenous species,Mammals,Latvia,3
Number of endangered indigenous species,Birds,Latvia,19
Number of endangered indigenous species,Reptiles,Latvia,1
Number of endangered indigenous species,Amphibians,Latvia,1
Number of endangered indigenous species,Vascular plants,Latvia,110
Number of critically endangered indigenous species,Mammals,Latvia,0
Number of critically endangered indigenous species,Birds,Latvia,4
Number of critically endangered indigenous species,Reptiles,Latvia,1
Number of critically endangered indigenous species,Amphibians,Latvia,1
Number of critically endangered indigenous species,Vascular plants,Latvia,16
Number of vulnerable indigenous species,Mammals,Latvia,2
Number of vulnerable indigenous species,Birds,Latvia,16
Number of vulnerable indigenous species,Reptiles,Latvia,0
Number of vulnerable indigenous species,Amphibians,Latvia,1
Number of vulnerable indigenous species,Vascular plants,Latvia,83
Total number of indigenous threatened species,Mammals,Latvia,5
Total number of indigenous threatened species,Birds,Latvia,39
Total number of indigenous threatened species,Reptiles,Latvia,2
Total number of indigenous threatened species,Amphibians,Latvia,3
Total number of indigenous threatened species,Vascular plants,Latvia,209
Threatened species as % of known species,Mammals,Latvia,8.065
Threatened species as % of known species,Birds,Latvia,16.738
Threatened species as % of known species,Reptiles,Latvia,28.571
Threatened species as % of known species,Amphibians,Latvia,30.769
Threatened species as % of known species,Vascular plants,Latvia,10.79
Threatened indigenous species as % of indigenous spec.,Mammals,Latvia,9.259
Threatened indigenous species as % of indigenous spec.,Birds,Latvia,16.883
Threatened indigenous species as % of indigenous spec.,Reptiles,Latvia,28.571
Threatened indigenous species as % of indigenous spec.,Amphibians,Latvia,23.077
Threatened indigenous species as % of indigenous spec.,Vascular plants,Latvia,16.028
Number of endangered species,Mammals,Brazil,43
Number of endangered species,Birds,Brazil,71
Number of endangered species,Reptiles,Brazil,50
Number of endangered species,Amphibians,Brazil,12
Number of endangered species,Invertebrates,Brazil,104
Number of critically endangered species,Mammals,Brazil,12
Number of critically endangered species,Birds,Brazil,42
Number of critically endangered species,Reptiles,Brazil,10
Number of critically endangered species,Amphibians,Brazil,18
Number of critically endangered species,Invertebrates,Brazil,101
Number of vulnerable species,Mammals,Brazil,55
Number of vulnerable species,Birds,Brazil,120
Number of vulnerable species,Reptiles,Brazil,20
Number of vulnerable species,Amphibians,Brazil,11
Number of vulnerable species,Invertebrates,Brazil,94
Total number of threatened species,Mammals,Brazil,110
Total number of threatened species,Birds,Brazil,234
Total number of threatened species,Reptiles,Brazil,80
Total number of threatened species,Amphibians,Brazil,38
Total number of threatened species,Invertebrates,Brazil,299
Total number of known species,Mosses,Australia,1871
Total number of known species,Lichens,Australia,3880
Total number of known species,Invertebrates,Australia,114095
Total number of indigenous known species,Mosses,Australia,1865
Total number of indigenous known species,Lichens,Australia,3878
Number of endangered species,Invertebrates,Australia,22
Number of critically endangered species,Invertebrates,Australia,30
Number of vulnerable species,Mosses,Australia,1
Number of vulnerable species,Invertebrates,Australia,13
Total number of threatened species,Mosses,Australia,1
Total number of threatened species,Invertebrates,Australia,65
Threatened species as % of known species,Mosses,Australia,0.056
Threatened species as % of known species,Invertebrates,Australia,0.059
Total number of known species,Mosses,Belgium,521
Total number of known species,Lichens,Belgium,838
Total number of known species,Invertebrates,Belgium,5238
Total number of indigenous known species,Mosses,Belgium,521
Total number of indigenous known species,Lichens,Belgium,838
Total number of indigenous known species,Invertebrates,Belgium,5227
Number of endangered species,Invertebrates,Belgium,201
Number of critically endangered species,Invertebrates,Belgium,135
Number of vulnerable species,Invertebrates,Belgium,230
Total number of threatened species,Mosses,Belgium,140
Total number of threatened species,Lichens,Belgium,495
Total number of threatened species,Invertebrates,Belgium,566
Number of endangered indigenous species,Invertebrates,Belgium,201
Number of critically endangered indigenous species,Invertebrates,Belgium,135
Number of vulnerable indigenous species,Invertebrates,Belgium,230
Total number of indigenous threatened species,Mosses,Belgium,140
Total number of indigenous threatened species,Lichens,Belgium,495
Total number of indigenous threatened species,Invertebrates,Belgium,566
Threatened species as % of known species,Mosses,Belgium,26.871
Threatened species as % of known species,Lichens,Belgium,59.069
Threatened species as % of known species,Invertebrates,Belgium,10.806
Threatened indigenous species as % of indigenous spec.,Mosses,Belgium,26.871
Threatened indigenous species as % of indigenous spec.,Lichens,Belgium,59.069
Threatened indigenous species as % of indigenous spec.,Invertebrates,Belgium,10.828
Total number of known species,Mosses,Czech Republic,892
Total number of known species,Lichens,Czech Republic,1526
Total number of known species,Invertebrates,Czech Republic,32627
Number of endangered species,Mosses,Czech Republic,88
Number of endangered species,Lichens,Czech Republic,186
Number of endangered species,Invertebrates,Czech Republic,1173
Number of critically endangered species,Mosses,Czech Republic,70
Number of critically endangered species,Lichens,Czech Republic,136
Number of critically endangered species,Invertebrates,Czech Republic,1014
Number of vulnerable species,Mosses,Czech Republic,93
Number of vulnerable species,Lichens,Czech Republic,247
Number of vulnerable species,Invertebrates,Czech Republic,1339
Total number of threatened species,Mosses,Czech Republic,251
Total number of threatened species,Lichens,Czech Republic,569
Total number of threatened species,Invertebrates,Czech Republic,3526
Threatened species as % of known species,Mosses,Czech Republic,28.139
Threatened species as % of known species,Lichens,Czech Republic,37.287
Threatened species as % of known species,Invertebrates,Czech Republic,10.151
Total number of known species,Lichens,Denmark,1002
Total number of known species,Invertebrates,Denmark,4270
Number of endangered species,Lichens,Denmark,50
Number of endangered species,Invertebrates,Denmark,179
Number of critically endangered species,Lichens,Denmark,84
Number of critically endangered species,Invertebrates,Denmark,104
Number of vulnerable species,Lichens,Denmark,87
Number of vulnerable species,Invertebrates,Denmark,319
Total number of threatened species,Lichens,Denmark,221
Total number of threatened species,Invertebrates,Denmark,602
Threatened species as % of known species,Lichens,Denmark,44.231
Threatened species as % of known species,Invertebrates,Denmark,14.044
Total number of known species,Mosses,Ireland,596
Total number of known species,Invertebrates,Ireland,1230
Number of endangered species,Mosses,Ireland,30
Number of endangered species,Invertebrates,Ireland,51
Number of critically endangered species,Mosses,Ireland,19
Number of critically endangered species,Invertebrates,Ireland,28
Number of vulnerable species,Mosses,Ireland,64
Number of vulnerable species,Invertebrates,Ireland,100
Total number of threatened species,Mosses,Ireland,113
Total number of threatened species,Invertebrates,Ireland,179
Threatened species as % of known species,Mosses,Ireland,18.96
Threatened species as % of known species,Invertebrates,Ireland,14.669
Total number of known species,Mosses,Japan,1800
Total number of known species,Lichens,Japan,1600
Total number of known species,Invertebrates,Japan,5300
Number of endangered species,Mosses,Japan,138
Number of endangered species,Lichens,Japan,41
Number of endangered species,Invertebrates,Japan,22
Number of vulnerable species,Mosses,Japan,103
Number of vulnerable species,Lichens,Japan,20
Number of vulnerable species,Invertebrates,Japan,43
Total number of threatened species,Mosses,Japan,240
Total number of threatened species,Lichens,Japan,63
Total number of threatened species,Invertebrates,Japan,65
Threatened species as % of known species,Mosses,Japan,13.389
Threatened species as % of known species,Lichens,Japan,3.813
Threatened species as % of known species,Invertebrates,Japan,1.226
Total number of known species,Mosses,Korea,925
Total number of known species,Lichens,Korea,1133
Number of endangered indigenous species,Invertebrates,Korea,13
Number of critically endangered indigenous species,Invertebrates,Korea,6
Number of vulnerable indigenous species,Invertebrates,Korea,37
Total number of indigenous threatened species,Invertebrates,Korea,56
Total number of indigenous known species,Mammals,Netherlands,53
Total number of indigenous known species,Birds,Netherlands,168
Total number of indigenous known species,Reptiles,Netherlands,7
Total number of indigenous known species,Vascular plants,Netherlands,1395
Total number of indigenous known species,Mosses,Netherlands,517
Total number of indigenous known species,Lichens,Netherlands,683
Total number of indigenous known species,Invertebrates,Netherlands,507
Number of endangered indigenous species,Mammals,Netherlands,3
Number of endangered indigenous species,Birds,Netherlands,10
Number of endangered indigenous species,Reptiles,Netherlands,0
Number of endangered indigenous species,Amphibians,Netherlands,2
Number of endangered indigenous species,Vascular plants,Netherlands,117
Number of endangered indigenous species,Mosses,Netherlands,27
Number of endangered indigenous species,Lichens,Netherlands,42
Number of endangered indigenous species,Invertebrates,Netherlands,60
Number of critically endangered indigenous species,Mammals,Netherlands,2
Number of critically endangered indigenous species,Birds,Netherlands,10
Number of critically endangered indigenous species,Reptiles,Netherlands,1
Number of critically endangered indigenous species,Vascular plants,Netherlands,71
Number of critically endangered indigenous species,Mosses,Netherlands,52
Number of critically endangered indigenous species,Lichens,Netherlands,49
Number of critically endangered indigenous species,Invertebrates,Netherlands,51
Number of vulnerable indigenous species,Mammals,Netherlands,6
Number of vulnerable indigenous species,Birds,Netherlands,21
Number of vulnerable indigenous species,Reptiles,Netherlands,4
Number of vulnerable indigenous species,Amphibians,Netherlands,3
Number of vulnerable indigenous species,Vascular plants,Netherlands,168
Number of vulnerable indigenous species,Mosses,Netherlands,43
Number of vulnerable indigenous species,Lichens,Netherlands,65
Number of vulnerable indigenous species,Invertebrates,Netherlands,51
Total number of indigenous threatened species,Mammals,Netherlands,11
Total number of indigenous threatened species,Birds,Netherlands,41
Total number of indigenous threatened species,Reptiles,Netherlands,5
Total number of indigenous threatened species,Vascular plants,Netherlands,356
Total number of indigenous threatened species,Mosses,Netherlands,122
Total number of indigenous threatened species,Lichens,Netherlands,156
Total number of indigenous threatened species,Invertebrates,Netherlands,162
Threatened indigenous species as % of indigenous spec.,Mammals,Netherlands,20.755
Threatened indigenous species as % of indigenous spec.,Birds,Netherlands,24.4
Threatened indigenous species as % of indigenous spec.,Reptiles,Netherlands,71.429
Threatened indigenous species as % of indigenous spec.,Vascular plants,Netherlands,25.52
Threatened indigenous species as % of indigenous spec.,Mosses,Netherlands,23.598
Threatened indigenous species as % of indigenous spec.,Lichens,Netherlands,22.84
Threatened indigenous species as % of indigenous spec.,Invertebrates,Netherlands,31.953
Total number of known species,Mosses,Spain,1100
Total number of known species,Lichens,Spain,2426
Total number of indigenous known species,Mosses,Spain,1100
Total number of indigenous known species,Lichens,Spain,2426
Total number of indigenous known species,Invertebrates,Spain,44266
Number of endangered species,Mosses,Spain,52
Number of endangered species,Invertebrates,Spain,54
Number of critically endangered species,Mosses,Spain,46
Number of critically endangered species,Invertebrates,Spain,22
Number of vulnerable species,Mosses,Spain,161
Number of vulnerable species,Invertebrates,Spain,170
Total number of threatened species,Mosses,Spain,259
Total number of threatened species,Invertebrates,Spain,246
Number of endangered indigenous species,Mosses,Spain,52
Number of endangered indigenous species,Invertebrates,Spain,54
Number of critically endangered indigenous species,Mosses,Spain,46
Number of critically endangered indigenous species,Invertebrates,Spain,22
Number of vulnerable indigenous species,Mosses,Spain,161
Number of vulnerable indigenous species,Invertebrates,Spain,170
Total number of indigenous threatened species,Mosses,Spain,259
Total number of indigenous threatened species,Invertebrates,Spain,246
Threatened species as % of known species,Mosses,Spain,23.545
Threatened indigenous species as % of indigenous spec.,Mosses,Spain,23.545
Threatened indigenous species as % of indigenous spec.,Invertebrates,Spain,0.479
Total number of threatened species,Mosses,United Kingdom,123
Total number of known species,Mammals,Costa Rica,241
Total number of known species,Birds,Costa Rica,888
Total number of known species,Reptiles,Costa Rica,173
Total number of known species,Amphibians,Costa Rica,192
Total number of known species,Vascular plants,Costa Rica,1179
Total number of known species,Invertebrates,Costa Rica,447
Number of endangered species,Mammals,Costa Rica,7
Number of endangered species,Birds,Costa Rica,8
Number of endangered species,Reptiles,Costa Rica,5
Number of endangered species,Amphibians,Costa Rica,22
Number of endangered species,Vascular plants,Costa Rica,47
Number of critically endangered species,Birds,Costa Rica,2
Number of critically endangered species,Reptiles,Costa Rica,2
Number of critically endangered species,Amphibians,Costa Rica,23
Number of critically endangered species,Vascular plants,Costa Rica,4
Number of vulnerable species,Mammals,Costa Rica,10
Number of vulnerable species,Birds,Costa Rica,20
Number of vulnerable species,Reptiles,Costa Rica,5
Number of vulnerable species,Amphibians,Costa Rica,16
Number of vulnerable species,Vascular plants,Costa Rica,86
Total number of threatened species,Mammals,Costa Rica,18
Total number of threatened species,Birds,Costa Rica,30
Total number of threatened species,Reptiles,Costa Rica,12
Total number of threatened species,Amphibians,Costa Rica,61
Total number of threatened species,Vascular plants,Costa Rica,137
Threatened species as % of known species,Mammals,Costa Rica,4.846
Threatened species as % of known species,Birds,Costa Rica,2.921
Threatened species as % of known species,Reptiles,Costa Rica,6.936
Threatened species as % of known species,Amphibians,Costa Rica,32.275
Threatened species as % of known species,Vascular plants,Costa Rica,28.773
Total number of known species,Mosses,Latvia,560
Total number of known species,Lichens,Latvia,687
Total number of known species,Invertebrates,Latvia,17100
Total number of indigenous known species,Mosses,Latvia,559
Total number of indigenous known species,Lichens,Latvia,687
Total number of indigenous known species,Invertebrates,Latvia,17000
Number of endangered indigenous species,Mosses,Latvia,41
Number of endangered indigenous species,Lichens,Latvia,18
Number of endangered indigenous species,Invertebrates,Latvia,38
Number of critically endangered indigenous species,Mosses,Latvia,3
Number of critically endangered indigenous species,Lichens,Latvia,2
Number of critically endangered indigenous species,Invertebrates,Latvia,7
Number of vulnerable indigenous species,Mosses,Latvia,17
Number of vulnerable indigenous species,Lichens,Latvia,4
Number of vulnerable indigenous species,Invertebrates,Latvia,34
Total number of indigenous threatened species,Mosses,Latvia,61
Total number of indigenous threatened species,Lichens,Latvia,24
Total number of indigenous threatened species,Invertebrates,Latvia,79
Threatened species as % of known species,Mosses,Latvia,10.893
Threatened species as % of known species,Lichens,Latvia,3.493
Threatened species as % of known species,Invertebrates,Latvia,0.462
Threatened indigenous species as % of indigenous spec.,Mosses,Latvia,10.912
Threatened indigenous species as % of indigenous spec.,Lichens,Latvia,3.493
Threatened indigenous species as % of indigenous spec.,Invertebrates,Latvia,0.465
Total number of known species,Mammals,Lithuania,68
Total number of known species,Birds,Lithuania,389
Total number of known species,Reptiles,Lithuania,7
Total number of known species,Amphibians,Lithuania,13
Total number of known species,Vascular plants,Lithuania,1334
Total number of known species,Mosses,Lithuania,470
Total number of known species,Lichens,Lithuania,250
Total number of known species,Invertebrates,Lithuania,25000
Total number of indigenous known species,Mammals,Lithuania,59
Total number of indigenous known species,Birds,Lithuania,368
Total number of indigenous known species,Reptiles,Lithuania,7
Total number of indigenous known species,Amphibians,Lithuania,13
Total number of indigenous known species,Vascular plants,Lithuania,786
Number of endangered species,Mammals,Lithuania,3
Number of endangered species,Birds,Lithuania,17
Number of endangered species,Reptiles,Lithuania,1
Number of endangered species,Amphibians,Lithuania,1
Number of endangered species,Vascular plants,Lithuania,66
Number of endangered species,Mosses,Lithuania,13
Number of endangered species,Lichens,Lithuania,16
Number of endangered species,Invertebrates,Lithuania,54
Number of vulnerable species,Mammals,Lithuania,4
Number of vulnerable species,Birds,Lithuania,20
Number of vulnerable species,Reptiles,Lithuania,1
Number of vulnerable species,Amphibians,Lithuania,3
Number of vulnerable species,Vascular plants,Lithuania,41
Number of vulnerable species,Mosses,Lithuania,26
Number of vulnerable species,Lichens,Lithuania,3
Number of vulnerable species,Invertebrates,Lithuania,22
Total number of threatened species,Mammals,Lithuania,7
Total number of threatened species,Birds,Lithuania,56
Total number of threatened species,Reptiles,Lithuania,2
Total number of threatened species,Amphibians,Lithuania,4
Total number of threatened species,Vascular plants,Lithuania,130
Total number of threatened species,Mosses,Lithuania,48
Total number of threatened species,Lichens,Lithuania,43
Total number of threatened species,Invertebrates,Lithuania,89
Number of endangered indigenous species,Mammals,Lithuania,3
Number of endangered indigenous species,Birds,Lithuania,17
Number of endangered indigenous species,Reptiles,Lithuania,1
Number of endangered indigenous species,Amphibians,Lithuania,1
Number of endangered indigenous species,Vascular plants,Lithuania,66
Number of endangered indigenous species,Mosses,Lithuania,13
Number of endangered indigenous species,Lichens,Lithuania,16
Number of endangered indigenous species,Invertebrates,Lithuania,54
Number of vulnerable indigenous species,Mammals,Lithuania,4
Number of vulnerable indigenous species,Birds,Lithuania,20
Number of vulnerable indigenous species,Reptiles,Lithuania,1
Number of vulnerable indigenous species,Amphibians,Lithuania,3
Number of vulnerable indigenous species,Vascular plants,Lithuania,41
Number of vulnerable indigenous species,Mosses,Lithuania,26
Number of vulnerable indigenous species,Lichens,Lithuania,3
